model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse
DeepLearning_grid_1_AutoML_1_20250818_202836_model_19,1.0,0.1404274457192025,1.0,0.0,0.1633850650518935,0.0266946794820114
DeepLearning_grid_2_AutoML_1_20250818_202836_model_2,1.0,0.0789036453268823,1.0,0.0,0.1415098505238212,0.0200250377952742
GBM_grid_1_AutoML_1_20250818_202836_model_22,1.0,0.0266393417848654,1.0,0.0,0.0990588455665589,0.0098126548849793
DeepLearning_grid_1_AutoML_1_20250818_202836_model_32,1.0,0.0321733911584746,1.0,0.0,0.0994631467210004,0.0098929175556432
GBM_2_AutoML_1_20250818_202836,1.0,0.0299585898036752,1.0,0.0,0.1065076275193073,0.0113438747197915
DeepLearning_grid_1_AutoML_1_20250818_202836_model_42,1.0,0.0624687474876687,1.0,0.0,0.146033159729196,0.0213256837404928
DeepLearning_grid_1_AutoML_1_20250818_202836_model_30,1.0,0.6421504544541305,1.0,0.0,0.4985840601153857,0.2485860650011425
DeepLearning_grid_1_AutoML_1_20250818_202836_model_25,1.0,0.2085387022217117,1.0,0.0,0.2160756450133351,0.0466886843679288
XGBoost_grid_1_AutoML_1_20250818_202836_model_77,1.0,0.1461106038097582,1.0,0.0,0.1393179195008516,0.0194094826940457
DeepLearning_grid_1_AutoML_1_20250818_202836_model_6,1.0,0.1343008838910543,1.0,0.0,0.1557599571701628,0.0242611642576509
XGBoost_grid_1_AutoML_1_20250818_202836_model_109,1.0,0.1274733404636828,1.0,0.0,0.1267314499398943,0.0160608604038679
GBM_grid_1_AutoML_1_20250818_202836_model_35,1.0,0.0157492456327047,1.0,0.0,0.0678173085852408,0.0045991873437457
XGBoost_grid_1_AutoML_1_20250818_202836_model_113,1.0,0.1192122031502058,1.0,0.0,0.1304117550247218,0.017007225848628
GBM_grid_1_AutoML_1_20250818_202836_model_89,1.0,0.0050392438157839,1.0,0.0,0.0252470997313342,0.0006374160448439385
StackedEnsemble_BestOfFamily_2_AutoML_1_20250818_202836,1.0,0.0313970638469815,1.0,0.0,0.0932013387002975,0.0086864895355275
StackedEnsemble_AllModels_3_AutoML_1_20250818_202836,1.0,0.0239979962570361,1.0,0.0,0.075441789163005,0.0056914635521153
DeepLearning_grid_3_AutoML_1_20250818_202836_model_12,1.0,0.2405281679500111,1.0,0.0,0.2457893905874407,0.0604124245253455
GBM_grid_1_AutoML_1_20250818_202836_model_66,1.0,0.0089415140885465,1.0,0.0,0.0420930943562826,0.0017718285924869
XGBoost_grid_1_AutoML_1_20250818_202836_model_32,1.0,0.1281492921453635,1.0,0.0,0.1468573334836764,0.0215670763979357
DeepLearning_grid_3_AutoML_1_20250818_202836_model_5,1.0,0.1299574652937943,1.0,0.0,0.2099079557249159,0.0440613498766132
DeepLearning_grid_1_AutoML_1_20250818_202836_model_22,1.0,0.1817666648205347,1.0,0.0,0.197050562664316,0.0388289242463235
GBM_grid_1_AutoML_1_20250818_202836_model_12,1.0,0.0202661170536577,1.0,0.0,0.0821372132688606,0.0067465218035743
DeepLearning_grid_1_AutoML_1_20250818_202836_model_41,1.0,0.1803628613513994,1.0,0.0,0.2269813279953405,0.0515205232585283
DeepLearning_grid_1_AutoML_1_20250818_202836_model_10,1.0,0.0978483357887256,1.0,0.0,0.1384736371396543,0.0191749481826846
XGBoost_grid_1_AutoML_1_20250818_202836_model_102,1.0,0.1421340976792227,1.0,0.0,0.149599722637094,0.0223800770130954
GBM_grid_1_AutoML_1_20250818_202836_model_74,1.0,0.0084287570247035,1.0,0.0,0.0401955717534568,0.0016156839885872
DeepLearning_grid_3_AutoML_1_20250818_202836_model_9,1.0,0.312896383682498,1.0,0.0,0.2897050456734007,0.0839290134886271
GBM_grid_1_AutoML_1_20250818_202836_model_10,1.0,0.0202333763701789,1.0,0.0,0.0795522136866349,0.006328554702444
GBM_grid_1_AutoML_1_20250818_202836_model_3,1.0,0.0014049098516047,1.0,0.0,0.0074063815651214,5.485448788817048e-05
GBM_grid_1_AutoML_1_20250818_202836_model_18,1.0,0.0012797502950627,1.0,0.0,0.0067643659336189,4.575664648390491e-05
GBM_grid_1_AutoML_1_20250818_202836_model_42,1.0,0.0306185913506523,1.0,0.0,0.1034522651744597,0.0107023711697267
XGBoost_grid_1_AutoML_1_20250818_202836_model_5,1.0,0.1483418319960857,1.0,0.0,0.1416103139254158,0.0200534810100548
GBM_grid_1_AutoML_1_20250818_202836_model_13,1.0,0.0121281332099614,1.0,0.0,0.0549977507296709,0.003024752585323
XGBoost_grid_1_AutoML_1_20250818_202836_model_8,1.0,0.1612749470901635,1.0,0.0,0.1570567842576777,0.0246668334813627
XGBoost_grid_1_AutoML_1_20250818_202836_model_85,1.0,0.1106934428010031,1.0,0.0,0.1135083226567942,0.0128841393123589
